miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.818592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.364320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	239	65.214485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8203	2238.303005	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8702	2374.462117	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14362	3918.872090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	608	165.901283	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	40	10.914558	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.091456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	1.091456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	2.182912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.364320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.545728	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	14	3.820095	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	42	11.460286	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	4.911551	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.545728	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	29	7.913055	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	11	3.001503	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	1.091456	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.272864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.272864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	2.182912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	623	169.994243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	1.637184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.818592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14253	3889.129919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.545728	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.364320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8598	2346.084266	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.818592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8257	2253.037658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	195	53.208471	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	2	0.545728	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.272864	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.272864	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.818592	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.545728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	31	8.458783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	32	8.731646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	4.092959	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	199	54.299927	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8313	2268.318039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8599	2346.357130	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	14311	3904.956028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	647	176.542977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.545728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.818592	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.545728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	2.182912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.272864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	20	5.457279	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	46	12.551742	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	4.911551	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.818592	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.272864	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	21	5.730143	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	67	18.281885	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1105	301.514668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	18852	5144.031237	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6988	1906.773302	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12437	3393.608980	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3058	834.417968	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.818592	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	1.091456	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.545728	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.545728	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.272864	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	1.637184	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.364320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.272864	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.272864	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	3	0.818592	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	19	5.184415	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	46	12.551742	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539855:+	2	0.545728	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.545728	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	26	7.094463	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	11	3.001503	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	9	2.455776	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	194	52.935607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1154	314.885001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	995	271.499633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3506	956.661018	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	135	36.836634	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.545728	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.272864	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.272864	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.272864	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.818592	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	4.092959	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	34	9.277374	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.272864	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.272864	N	mature,MIMAT0000065
